name,team,position,overall_rating,age,college,awareness_rating,throw_power_rating,kick_return_rating,lead_block_rating,strength_rating,b_c_vision_rating,catch_in_traffic_rating,play_action_rating,pursuit_rating,plyr_assetname,medium_route_running_rating,catching_rating,acceleration_rating,spin_move_rating,height,finesse_moves_rating,spectacular_catch_rating,run_block_rating,tackle_rating,injury_rating,zone_coverage_rating,weight,plyr_birthdate,running_style_rating,deep_route_running_rating,first_name,years_pro,total_salary,trucking_rating,throw_accuracy_short_rating,juke_move_rating,play_recognition_rating,short_route_running_rating,status,last_name,jersey_num,break_sack_rating,speed_rating,run_block_power_rating,jumping_rating,toughness_rating,throw_on_the_run_rating,man_coverage_rating,stiff_arm_rating,power_moves_rating,iteration,release_rating,hit_power_rating,throw_accuracy_mid_rating,kick_accuracy_rating,pass_block_power_rating,impact_blocking_rating,stamina_rating,carrying_rating,break_tackle_rating,plyr_portrait,kick_power_rating,plyr_handedness,throw_under_pressure_rating,signing_bonus,pass_block_rating,change_of_direction_rating,press_rating,throw_accuracy_deep_rating,archetype,block_shedding_rating,run_block_finesse_rating,team_id,agility_rating,pass_block_finesse_rating,primary_key
Carlton Davis III,Buccaneers,CB,82,25,Auburn,90,26,40,19,64,56,62,6,71,DavisCarlton_13171,15,68,91,58,73,35,64,35,61,86,83,203,12/31/96,Default Stride Loose,10,Carlton,4,17160000,29,6,67,87,20,published,Davis III,24,15,88,35,82,88,6,83,27,24,launch-ratings,23,68,6,15,35,52,92,65,48,8864,19,Right,13,28060000,35,83,86,6,CB_MantoMan,51,35,6,83,35,13171
Chris Boswell,Steelers,K,82,31,Rice,69,29,10,10,44,10,10,10,10,BoswellChris_2262,10,29,74,10,74,10,12,24,35,92,12,185,3/16/91,Default,10,Chris,8,12250000,15,37,10,10,10,published,Boswell,9,12,72,10,65,49,10,12,10,10,launch-ratings,12,15,33,91,10,10,84,45,12,6353,95,Right,20,7470000,16,55,10,27,KP_Accurate,10,10,29,64,10,2262
Dalton Schultz,Cowboys,TE,82,26,Stanford,84,24,38,59,76,76,84,5,34,SchultzDalton_13435,69,90,85,59,77,10,82,67,29,93,15,244,7/11/96,Long Stride High and Tight,63,Dalton,4,10930000,68,15,72,16,74,published,Schultz,86,12,81,63,79,86,10,12,66,10,launch-ratings,73,27,10,14,56,72,96,72,62,9050,16,Right,10,0,61,71,12,5,TE_Possession,31,67,11,81,61,13435
Damien Harris,Patriots,HB,82,25,Alabama,85,36,76,50,76,88,51,15,38,HarrisDamien_20337,56,68,92,75,70,10,49,42,38,86,18,213,2/11/97,Default,44,Damien,3,2750000,89,27,83,18,61,published,Harris,37,27,91,34,88,88,28,13,82,10,launch-ratings,57,24,22,12,42,48,86,92,86,9491,16,Right,16,880000,60,83,12,17,HB_PowerBack,27,28,22,85,38,20337
Darious Williams,Jaguars,CB,82,29,UAB,83,35,47,17,54,72,56,6,72,WilliamsDarious_13178,12,76,93,60,69,35,70,35,59,88,81,184,3/15/93,Default Stride Loose,10,Darious,4,12910000,19,6,64,84,22,published,Williams,21,10,91,35,92,81,6,82,33,32,launch-ratings,30,60,6,13,35,49,92,60,60,9955,14,Right,15,17000000,35,85,79,6,CB_MantoMan,52,35,17,87,35,13178
Deion Jones,Falcons,MLB,82,27,LSU,85,25,10,25,73,32,45,6,89,JonesDeion_17677,5,72,91,32,73,58,60,45,79,87,77,222,11/4/94,Default,5,Deion,6,30310000,27,6,38,82,15,published,Jones,45,12,90,44,85,78,6,72,26,51,launch-ratings,18,84,6,19,44,86,86,56,14,8084,19,Right,10,28300000,45,83,51,6,MLB_PassCoverage,69,44,14,86,43,17677
Denzel Perryman,Raiders,MLB,82,29,Miami,83,25,10,22,84,35,15,6,88,PerrymanDenzel_2560,5,54,85,25,71,51,30,45,92,85,62,240,12/5/92,Default Stride Awkward,5,Denzel,7,4000000,45,6,30,86,15,published,Perryman,52,12,80,45,81,88,6,54,52,58,launch-ratings,12,89,6,20,45,95,90,65,10,7276,20,Right,17,0,45,70,48,6,MLB_RunStopper,75,45,23,78,45,2560
DeVante Parker,Patriots,WR,82,29,Louisville,84,28,45,22,74,82,89,10,40,ParkerDeVante_2437,78,86,90,78,75,10,93,54,36,83,20,218,1/20/93,Default,78,DeVante,7,26050000,66,31,81,20,79,published,Parker,11,22,89,36,95,88,20,10,67,10,launch-ratings,87,12,25,12,20,42,87,75,78,7266,19,Right,24,8700000,39,82,10,20,WR_Physical,35,30,22,86,19,2437
Garett Bolles,Broncos,LT,82,30,Utah,90,25,10,88,89,28,30,6,39,BollesGarett_12545,16,36,77,15,77,27,25,80,38,88,15,297,5/27/92,Default Stride Awkward,8,Garett,5,49470000,37,6,19,26,26,published,Bolles,72,12,74,77,70,88,6,12,26,33,launch-ratings,22,42,6,20,83,88,90,29,17,8482,22,Right,14,22040000,85,58,10,6,OT_Agile,34,83,4,74,86,12545
Grover Stewart,Colts,DT,82,28,Albany,85,19,10,36,91,25,22,6,86,StewartGrover_12835,5,30,75,16,76,60,17,45,86,93,35,315,10/20/93,Default Stride Awkward,3,Grover,5,27140000,34,6,20,88,13,published,Stewart,90,12,66,45,66,92,6,22,29,75,launch-ratings,12,75,6,15,45,86,82,26,12,9293,15,Right,10,5860000,45,50,10,6,DT_RunStopper,82,45,10,60,45,12835
Haason Reddick,Eagles,LOLB,82,27,Temple,85,25,59,16,79,73,60,6,82,ReddickHaason_12560,44,70,89,51,73,82,59,45,82,93,60,235,9/22/94,Default Stride Loose,35,Haason,5,17120000,63,6,66,83,52,published,Reddick,7,12,87,44,87,84,6,57,57,70,launch-ratings,46,83,6,19,44,66,88,77,43,8696,19,Right,12,14000000,45,76,45,6,OLB_SpeedRusher,74,44,13,85,43,12560
Jadeveon Clowney,Browns,LE,82,29,South Carolina,80,35,10,28,84,55,40,6,90,ClowneyJadeveon_10845,5,49,88,50,77,74,44,45,83,83,58,255,2/14/93,Default Stride Bread Loaf,5,Jadeveon,8,500000,54,6,54,81,15,published,Clowney,90,12,84,45,88,79,6,50,60,83,launch-ratings,15,85,6,20,45,92,83,53,27,6380,21,Right,17,2970000,45,71,35,6,DE_RunStopper,83,45,5,84,45,10845
Jamel Dean,Buccaneers,CB,82,25,Auburn,83,14,65,19,66,71,57,6,72,DeanJamel_20703,25,64,89,66,73,39,66,35,68,85,82,208,10/15/96,Default,22,Jamel,3,4430000,42,6,71,78,34,published,Dean,35,13,93,35,89,88,6,85,46,30,launch-ratings,26,65,6,28,35,54,91,59,53,9435,33,Right,13,840000,35,86,79,6,CB_MantoMan,48,35,6,85,35,20703
James Bradberry IV,Eagles,CB,82,29,Samford,85,21,65,12,67,67,60,6,75,BradberryJames_17825,18,74,92,70,73,36,67,13,44,93,87,210,8/4/93,Short Stride Default,11,James,6,1240000,25,6,71,85,28,published,Bradberry IV,24,10,90,35,88,88,6,81,25,27,launch-ratings,12,75,6,21,35,52,97,62,60,7905,29,Right,12,1040000,10,84,88,6,CB_Zone,53,35,13,85,35,17825
Javonte Williams,Broncos,HB,82,22,North Carolina,79,32,42,52,80,84,51,13,38,WilliamsJavonte_21581,57,68,91,75,70,10,53,52,35,90,20,215,4/25/00,Default,53,Javonte,1,5060000,89,10,82,15,64,published,Williams,33,26,88,43,87,88,18,15,81,10,launch-ratings,49,29,10,14,37,50,88,92,94,1118,18,Right,15,3800000,61,86,17,10,HB_PowerBack,31,38,4,85,33,21581
Jaylon Johnson,Bears,CB,82,23,Utah,85,27,40,12,67,68,57,6,76,JohnsonJaylon_21009,16,66,90,68,72,35,65,41,63,87,87,193,4/19/99,Long Stride Loose,11,Jaylon,2,3790000,40,6,74,83,26,published,Johnson,33,13,89,35,88,95,6,81,46,27,launch-ratings,31,65,6,14,35,57,92,60,60,398,15,Right,13,2680000,35,89,88,6,CB_Zone,54,35,1,86,35,21009
Jeremy Chinn,Panthers,SS,82,24,S. Illinois,81,23,48,20,70,62,58,6,83,ChinnJeremy_21151,22,73,92,56,75,56,67,35,75,90,78,221,2/26/98,Long Stride Default,10,Jeremy,2,3880000,48,6,70,79,30,published,Chinn,21,15,93,35,92,93,6,73,43,46,launch-ratings,20,81,6,11,35,58,93,68,43,211,14,Right,18,1360000,35,86,73,6,S_Zone,58,35,21,87,35,21151
Jerry Jeudy,Broncos,WR,82,23,Alabama,74,27,69,28,64,87,79,10,38,JeudyJerry_20940,84,82,94,81,73,10,84,45,33,87,31,193,4/24/99,Short Stride Loose,83,Jerry,2,2000000,56,20,92,24,86,published,Jeudy,10,25,91,27,85,88,23,23,76,10,launch-ratings,77,26,15,17,18,43,89,75,77,392,19,Right,21,13180000,35,93,26,10,WR_Playmaker,28,22,4,93,13,20940
John Johnson III,Browns,FS,82,26,Boston College,83,26,73,18,69,66,61,6,82,JohnsonJohn_12611,15,72,90,70,72,45,67,35,74,92,83,209,12/19/95,Default Stride Loose,10,John,5,16750000,54,6,73,82,25,published,Johnson III,43,16,85,35,88,81,6,78,51,34,launch-ratings,20,85,6,19,35,63,92,66,46,8606,24,Right,10,7500000,35,84,71,6,S_Zone,59,35,5,92,35,12611
Johnny Hekker,Panthers,P,82,32,Oregon State,68,67,10,16,55,15,18,29,35,HekkerJohnny_11695,15,39,71,10,77,10,43,29,25,94,15,235,2/8/90,Default Stride Awkward,15,Johnny,10,2490000,15,63,10,20,15,published,Hekker,6,27,66,16,72,68,41,15,10,10,launch-ratings,15,21,53,92,15,22,84,40,15,5860,94,Right,38,5140000,25,52,10,43,KP_Accurate,17,16,21,63,13,11695
Jordyn Brooks,Seahawks,MLB,82,24,Texas Tech,79,25,10,17,73,35,38,6,88,BrooksJordyn_21316,5,52,88,25,72,59,45,45,95,90,66,240,10/21/97,Default Stride Loose,5,Jordyn,2,2000000,30,6,30,81,15,published,Brooks,56,12,87,45,82,89,6,60,52,52,launch-ratings,12,84,6,20,45,83,95,56,10,180,20,Right,10,10230000,45,77,46,6,MLB_RunStopper,74,45,28,86,45,21316
Justin Reid,Chiefs,SS,82,25,Stanford,81,26,55,20,66,57,63,15,82,ReidJustin_13167,10,70,92,61,73,46,61,35,66,90,82,202,2/15/97,Short Stride Loose,10,Justin,4,21000000,31,15,71,81,20,published,Reid,20,13,93,35,87,87,15,74,47,39,launch-ratings,22,76,10,64,35,66,91,63,24,9035,86,Right,16,10500000,35,86,71,10,S_Zone,61,35,9,91,35,13167
Kyle Dugger,Patriots,SS,82,26,Lenoir-Rhyne University,84,25,82,16,74,75,56,10,83,DuggerKyle_21161,32,71,90,67,73,53,64,35,71,87,77,220,3/22/96,Default Stride Loose,29,Kyle,2,4230000,49,10,78,83,40,published,Dugger,23,11,90,35,92,84,10,70,50,48,launch-ratings,26,88,6,13,35,74,90,70,60,263,18,Right,15,4090000,35,84,71,6,S_RunSupport,71,35,22,87,35,21161
Marcus Davenport,Saints,RE,82,25,UTSA,87,23,10,16,82,26,18,6,85,DavenportMarcus_13102,8,24,88,28,78,74,15,45,84,84,42,265,9/4/96,Long Stride Default,5,Marcus,4,500000,28,6,36,83,10,published,Davenport,92,12,85,45,81,81,6,34,37,83,launch-ratings,12,78,6,16,45,80,77,31,30,8862,18,Right,17,2510000,45,68,26,6,DE_PowerRusher,79,45,27,76,45,13102
Marvin Jones Jr,Jaguars,WR,82,32,California,85,35,72,29,71,85,91,10,20,JonesJrMarvin_11269,81,89,90,82,74,10,92,53,32,90,15,198,3/12/90,Default Stride Loose,82,Marvin,10,9200000,58,25,85,15,81,published,Jones Jr,11,22,88,39,92,88,15,20,66,10,launch-ratings,83,12,20,24,25,49,91,81,80,5288,25,Right,20,0,46,83,20,15,WR_DeepThreat,35,37,17,87,23,11269
Michael Dickson,Seahawks,P,82,26,Texas,68,36,10,16,47,19,15,18,38,DicksonMichael_13391,15,26,76,16,74,10,15,16,30,90,16,208,1/4/96,Default Stride Loose,15,Michael,4,11080000,12,29,24,17,15,published,Dickson,4,15,74,16,31,72,22,11,10,10,launch-ratings,15,17,24,93,17,16,86,38,12,8870,95,Right,20,7070000,17,55,10,18,KP_Power,28,16,28,67,17,13391
Mike Hilton,Bengals,CB,82,28,Ole Miss,89,22,69,12,65,66,61,18,83,HiltonMike_12981,19,68,90,71,69,28,64,26,55,89,88,184,3/9/94,Short Stride Default,12,Mike,6,17500000,31,26,75,89,29,published,Hilton,21,16,88,15,81,85,19,82,46,37,launch-ratings,24,36,20,10,23,42,92,57,59,9203,11,Right,11,4380000,16,88,79,17,CB_Zone,64,15,2,89,23,12981
Miles Sanders,Eagles,HB,82,25,Penn State,82,29,77,34,69,85,54,16,36,SandersMiles_20492,59,65,93,80,71,10,55,36,33,85,18,211,5/1/97,Default,52,Miles,3,3200000,75,31,86,19,64,published,Sanders,26,23,91,26,86,84,21,12,78,10,launch-ratings,59,22,27,12,30,47,88,88,82,9619,16,Right,18,2150000,54,88,15,19,HB_ElusiveBack,26,25,13,89,27,20492
Myles Jack,Steelers,MLB,82,26,UCLA,87,22,65,25,74,75,62,18,86,JackMyles_17539,54,70,88,62,73,62,59,45,88,87,73,255,9/3/95,Default Stride Loose,48,Myles,6,8500000,74,26,73,84,64,published,Jack,51,46,86,44,91,86,27,67,79,51,launch-ratings,50,83,22,19,43,82,91,76,54,8066,21,Right,38,7500000,45,81,53,20,MLB_FieldGeneral,73,44,29,88,44,17539
Noah Fant,Seahawks,TE,82,24,Iowa,77,28,10,47,72,80,78,10,38,FantNoah_20511,73,94,92,64,76,19,82,58,41,90,22,249,11/20/97,Long Stride Loose,73,Noah,3,1000000,64,20,72,28,77,published,Fant,87,18,89,55,89,82,10,16,62,16,launch-ratings,72,26,15,12,54,60,89,76,67,9452,17,Right,14,8060000,57,78,19,10,TE_VerticalThreat,38,58,28,89,55,20511
Preston Smith,Packers,ROLB,82,29,Mississippi St.,88,20,10,15,82,45,42,6,85,SmithPreston_2534,11,59,87,45,77,72,49,45,83,97,59,265,11/17/92,Default Stride Loose,6,Preston,7,52270000,45,6,48,85,21,published,Smith,91,12,80,45,82,93,6,52,45,83,launch-ratings,35,80,6,30,45,75,83,57,10,7332,37,Right,17,19450000,45,68,42,6,OLB_PowerRusher,75,45,20,80,45,2534
Robbie Anderson,Panthers,WR,82,29,Temple,83,29,65,23,59,87,82,6,38,AndersonRobby_17960,84,85,92,77,75,10,87,45,21,93,25,190,5/9/93,Long Stride Default,87,Robbie,6,14230000,46,15,86,25,83,published,Anderson,3,22,94,37,86,81,10,20,63,10,launch-ratings,82,12,10,11,24,43,90,76,77,7880,11,Right,20,27280000,35,84,10,6,WR_DeepThreat,26,31,21,83,22,17960
Ryan Kelly,Colts,C,82,29,Alabama,93,24,9,82,86,26,19,6,31,KellyRyan_17679,5,29,71,16,76,13,15,82,32,90,14,309,5/30/93,Default Stride Awkward,5,Ryan,6,36160000,29,6,20,19,13,published,Kelly,78,12,69,84,74,90,6,12,24,12,launch-ratings,15,38,6,20,83,84,88,25,7,8094,20,Right,12,23850000,82,59,8,6,C_PassProtector,26,80,10,68,81,17679
Sterling Shepard,Giants,WR,82,29,Oklahoma,81,27,75,26,68,85,87,18,41,ShepardSterling_17592,84,89,92,76,70,11,87,60,33,83,24,196,2/10/93,Default,83,Sterling,6,16050000,41,22,86,21,84,published,Shepard,3,26,89,39,92,86,21,16,49,11,launch-ratings,81,15,20,22,11,46,86,75,81,8213,23,Right,27,11140000,41,87,16,17,WR_Slot,24,32,16,91,15,17592
Taron Johnson,Bills,CB,82,26,Weber State,82,25,38,15,63,63,62,6,79,JohnsonTaron_13348,31,70,93,65,71,36,62,40,55,90,86,192,7/27/96,Short Stride Loose,24,Taron,4,17680000,22,6,73,84,38,published,Johnson,7,10,91,35,81,78,6,82,31,29,launch-ratings,28,48,6,11,40,45,91,58,50,8949,10,Right,11,8660000,10,85,85,6,CB_MantoMan,62,35,3,85,35,13348
Tress Way,Commanders,P,82,32,Oklahoma,69,54,10,14,44,10,10,30,10,WayTress_2335,10,45,76,10,73,10,12,14,29,92,27,220,4/18/90,Default Stride Awkward,10,Tress,9,14010000,10,54,10,19,10,published,Way,5,17,73,14,69,65,28,13,10,10,launch-ratings,12,12,50,90,11,14,82,51,10,7370,96,Left,34,3500000,11,51,10,47,KP_Power,10,14,26,64,11,2335
Tyson Alualu,Steelers,DT,82,35,California,91,27,10,15,87,10,10,6,83,AlualuTyson_9857,3,28,74,10,75,53,12,45,85,88,29,304,5/12/87,Default Stride Awkward,2,Tyson,12,3580000,22,6,10,94,10,published,Alualu,94,12,71,45,78,80,6,21,10,74,launch-ratings,12,83,6,28,45,85,69,35,10,280,33,Right,14,1920000,45,60,10,6,DT_RunStopper,81,45,29,68,45,9857
Vonn Bell,Bengals,SS,82,27,Ohio State,85,26,48,18,74,57,48,6,81,BellVonn_17654,12,73,89,62,71,58,61,16,76,92,82,205,12/12/94,Short Stride High and Tight,10,Vonn,6,15000000,45,6,67,84,22,published,Bell,24,17,87,34,82,81,6,73,41,43,launch-ratings,22,85,6,19,34,63,94,69,47,7891,20,Right,16,3000000,25,80,61,6,S_Zone,55,33,2,84,33,17654
Yannick Ngakoue,Colts,RE,82,27,Maryland,87,22,9,19,80,29,17,6,85,NgakoueYannick_17734,6,50,86,25,74,84,26,44,82,92,51,246,3/31/95,Default,3,Yannick,6,14000000,26,6,27,85,13,published,Ngakoue,91,12,81,44,83,88,6,46,32,81,launch-ratings,17,82,6,19,45,79,84,44,20,8162,21,Right,18,4000000,44,67,23,6,DE_SmallerSpeedRusher,64,45,10,81,44,17734
Younghoe Koo,Falcons,K,82,28,Ga. Southern,74,36,8,15,47,30,10,17,27,KooYounghoe_12936,10,36,74,19,69,10,12,15,36,91,20,185,8/3/94,Short Stride Awkward,10,Younghoe,5,18000000,18,33,16,18,10,published,Koo,7,16,71,16,74,69,20,15,17,10,launch-ratings,12,27,26,89,16,15,87,39,16,9837,92,Right,12,6250000,10,56,10,22,KP_Power,31,16,14,63,14,12936
Amani Hooker,Titans,SS,81,24,Iowa,79,42,44,20,62,71,57,16,72,HookerAmani_20629,33,73,90,57,71,55,70,35,71,88,87,210,6/14/98,Short Stride Loose,24,Amani,3,4310000,32,34,74,77,37,published,Hooker,37,17,88,35,88,81,27,71,45,45,launch-ratings,35,79,28,44,35,61,90,65,55,9508,55,Right,17,720000,35,84,65,24,S_Zone,55,35,30,90,35,20629
Ben Jones,Titans,C,81,33,Georgia,93,12,10,86,86,10,10,6,32,JonesBen_11508,5,32,60,10,75,10,12,85,40,96,12,308,7/2/89,Default Stride Awkward,5,Ben,10,7120000,15,6,10,22,10,published,Jones,60,12,57,80,74,93,6,10,10,10,launch-ratings,12,12,6,15,77,82,92,39,5,5280,11,Right,10,4580000,79,51,10,6,C_Agile,33,87,30,60,81,11508
Bobby Okereke,Colts,MLB,81,26,Stanford,86,25,10,13,72,31,25,6,85,OkerekeBobby_20425,5,65,90,39,73,56,41,45,88,91,72,239,7/29/96,Default Stride Loose,5,Bobby,3,4450000,37,6,44,85,15,published,Okereke,58,12,88,45,81,85,6,66,33,62,launch-ratings,20,80,6,14,45,72,94,47,19,9588,17,Right,15,880000,45,77,50,6,MLB_FieldGeneral,73,45,10,83,45,20425
Brandon Aiyuk,49ers,WR,81,24,Arizona St.,80,33,79,29,65,89,85,10,58,AiyukBrandon_21069,80,87,93,82,72,34,83,48,49,92,53,200,3/17/98,Default Stride Loose,77,Brandon,2,2110000,62,25,86,38,82,published,Aiyuk,11,28,91,28,95,87,24,48,69,29,launch-ratings,79,50,20,13,19,45,88,72,80,71,19,Right,23,10430000,36,87,43,15,WR_Playmaker,50,32,15,91,14,21069
Christian Kirk,Jaguars,WR,81,25,Texas AM,84,47,84,22,65,84,85,16,33,KirkChristian_13186,81,89,93,80,71,10,84,47,30,89,19,200,11/18/96,Short Stride Loose,82,Christian,4,52000000,46,39,89,20,83,published,Kirk,13,23,91,35,85,91,34,15,74,10,launch-ratings,72,24,30,14,30,43,88,72,72,8963,18,Right,24,20000000,34,85,17,34,WR_Slot,23,31,17,89,26,13186
Daniel Carlson,Raiders,K,81,27,Auburn,69,26,10,16,52,26,15,17,23,CarlsonDaniel_13382,15,31,77,18,77,10,15,18,26,91,16,215,1/23/95,Default Stride Awkward,15,Daniel,4,17780000,12,32,27,16,15,published,Carlson,2,17,73,18,42,61,16,12,15,10,launch-ratings,15,18,22,90,18,22,83,41,13,8838,94,Right,15,4000000,18,46,10,17,KP_Accurate,18,18,23,61,18,13382
Derrick Brown,Panthers,DT,81,24,Auburn,81,41,30,42,94,53,42,25,85,BrownDerrick_21286,38,52,74,50,77,61,43,50,86,94,30,320,4/15/98,Long Stride Default,33,Derrick,2,2000000,60,35,52,78,42,published,Brown,95,33,70,50,68,95,36,24,52,77,launch-ratings,39,84,30,14,48,88,82,56,38,189,22,Right,31,21620000,48,57,23,27,DT_RunStopper,80,46,21,70,44,21286
Devin Singletary,Bills,HB,81,24,FAU,84,24,73,34,70,84,49,17,37,SingletaryDevin_20491,54,68,90,80,67,10,45,31,37,94,15,203,9/3/97,Default Stride High and Tight,47,Devin,3,4540000,78,21,89,12,60,published,Singletary,26,27,86,24,84,90,14,13,80,10,launch-ratings,51,21,15,10,38,41,89,84,85,9629,14,Right,12,1010000,56,92,15,12,HB_ElusiveBack,25,21,3,91,35,20491
Donte Jackson,Panthers,CB,81,26,LSU,79,20,77,13,49,69,60,6,70,JacksonDonte_13169,12,74,95,75,70,34,73,35,48,86,76,180,11/8/95,Short Stride Bread Loaf,10,Donte,4,23670000,17,6,79,76,15,published,Jackson,26,17,95,35,98,67,6,80,27,23,launch-ratings,12,59,6,13,35,44,91,63,45,8936,17,Right,18,11010000,35,93,74,6,CB_MantoMan,45,35,21,95,35,13169
Ed Oliver,Bills,DT,81,24,Houston,83,25,10,30,89,31,24,6,85,OliverEd_20548,8,31,87,29,73,72,20,45,87,95,32,287,12/12/97,Long Stride Default,4,Ed,3,12750000,31,6,39,81,15,published,Oliver,91,12,83,45,86,89,6,19,30,80,launch-ratings,20,81,6,12,45,88,84,32,20,9589,15,Right,14,17580000,45,71,16,6,DT_PowerRusher,75,45,3,85,45,20548
Evan Engram,Jaguars,TE,81,27,Ole Miss,77,28,59,50,66,85,79,18,37,EngramEvan_12589,71,85,91,68,75,28,85,58,42,87,31,240,9/2/94,Long Stride Loose,72,Evan,5,5970000,75,23,75,26,75,published,Engram,17,14,88,58,88,76,27,24,73,20,launch-ratings,73,28,18,16,61,69,90,78,76,8545,22,Right,11,3000000,62,80,22,14,TE_VerticalThreat,32,55,17,87,55,12589
Graham Gano,Giants,K,81,35,Florida State,67,27,10,12,63,10,10,20,15,GanoGraham_28887,10,35,77,10,74,10,12,12,34,89,12,202,4/9/87,Default Stride Awkward,10,Graham,13,8360000,10,35,10,10,10,published,Gano,9,14,75,12,36,60,20,12,36,10,launch-ratings,12,12,30,90,17,12,80,35,5,1203,98,Right,17,7020000,17,55,10,25,KP_Power,13,12,16,64,17,28887
Greg Newsome II,Browns,CB,81,22,Northwestern,78,22,40,19,60,60,55,6,77,NewsomeIIGreg_21457,32,62,93,66,72,40,60,35,58,86,82,192,5/18/00,Short Stride Loose,26,Greg,1,6120000,32,6,75,77,39,published,Newsome II,20,15,93,35,90,78,6,82,44,28,launch-ratings,38,64,6,12,35,52,93,61,53,1273,19,Right,13,6640000,35,90,82,6,CB_MantoMan,50,35,5,92,35,21457
J.K. Dobbins,Ravens,HB,81,23,Ohio State,81,32,60,38,74,85,56,15,35,DobbinsJK_20926,56,64,92,81,70,12,52,41,30,87,17,212,12/17/98,Default,43,J.K.,2,3630000,79,30,87,14,63,published,Dobbins,27,27,91,33,90,88,19,13,83,11,launch-ratings,54,31,25,16,31,42,88,88,83,257,19,Right,16,2090000,60,88,17,15,HB_ElusiveBack,29,26,25,87,34,20926
Jake Matthews,Falcons,LT,81,30,Texas AM,91,25,10,88,86,28,35,6,50,MatthewsJake_12349,18,40,73,15,77,30,25,77,45,98,15,305,2/11/92,Default Stride Awkward,10,Jake,8,71060000,37,6,10,30,28,published,Matthews,70,12,68,75,75,87,6,12,20,35,launch-ratings,35,40,6,20,82,84,91,45,23,6514,22,Right,13,32090000,84,58,10,6,OT_PassProtector,40,79,14,69,86,12349
James Conner,Cardinals,HB,81,27,Pittsburgh,80,23,55,52,81,87,54,10,35,ConnerJames_12664,60,70,88,82,73,49,69,53,33,85,15,233,5/5/95,Default,53,James,5,7470000,86,18,85,17,67,published,Conner,6,20,88,42,76,92,20,10,92,30,launch-ratings,65,37,14,16,45,49,91,89,88,8515,18,Right,11,13500000,64,81,15,10,HB_PowerBack,28,41,7,82,39,12664
Jason Verrett,49ers,CB,81,31,TCU,88,22,66,14,63,72,68,6,72,VerrettJason_12388,11,76,91,56,70,40,75,35,55,68,84,188,6/18/91,Default Stride Loose,10,Jason,8,900000,23,6,74,85,15,published,Verrett,2,19,90,35,89,73,6,79,30,30,launch-ratings,15,65,6,25,35,54,85,59,69,6625,30,Right,12,0,35,86,78,6,CB_Zone,43,35,15,88,35,12388
John Franklin-Myers,Jets,LE,81,25,Stephen F. Austin,86,20,10,18,90,30,18,9,83,FranklinJohn_13356,8,38,83,21,76,83,15,45,86,91,33,292,9/26/96,Long Stride Default,4,John,4,53920000,32,9,31,84,15,published,Franklin-Myers,91,12,79,45,80,85,9,25,34,77,launch-ratings,15,83,9,12,45,86,80,26,24,8892,16,Right,17,2000000,45,64,25,9,DE_RunStopper,80,45,18,72,45,13356
Jonathan Jones,Patriots,CB,81,28,Auburn,78,27,60,14,63,60,60,6,77,JonesJonathan_17711,16,68,95,65,70,41,71,34,60,83,79,190,9/20/93,Short Stride Loose,11,Jonathan,6,12300000,28,6,68,79,26,published,Jones,31,15,93,33,86,73,6,81,29,35,launch-ratings,27,67,6,17,33,44,87,60,55,8085,18,Right,12,11800000,33,88,79,6,CB_MantoMan,59,34,22,84,34,17711
Kareem Jackson,Broncos,SS,81,34,Alabama,87,22,44,12,60,70,39,5,82,JacksonKareem_9927,15,78,88,70,70,39,64,30,66,90,81,185,4/10/88,Default Stride Loose,11,Kareem,11,300000,20,5,80,85,25,published,Jackson,22,10,86,35,89,74,5,83,10,50,launch-ratings,10,89,5,10,35,52,91,50,34,1611,10,Right,10,1700000,30,83,83,5,S_RunSupport,65,35,4,83,35,9927
Kendrick Bourne,Patriots,WR,81,27,Eastern Wash.,82,44,67,22,65,86,86,15,32,BourneKendrick_12998,81,88,93,80,73,11,85,59,27,90,24,190,8/4/95,Default,78,Kendrick,5,22000000,42,34,86,21,82,published,Bourne,84,22,89,23,88,82,35,16,46,11,launch-ratings,80,15,31,22,21,42,84,74,79,9146,23,Right,30,0,48,87,16,27,WR_Slot,22,16,22,93,19,12998
Kenny Golladay,Giants,WR,81,28,N. Illinois,80,36,74,29,74,83,91,31,38,GolladayKenny_12830,78,87,90,75,76,10,90,56,30,84,29,213,11/3/93,Long Stride Loose,75,Kenny,5,44250000,69,29,80,25,78,published,Golladay,19,22,89,25,93,89,33,20,84,10,launch-ratings,82,46,24,21,25,54,88,75,78,8568,24,Right,20,24350000,39,83,25,20,WR_Physical,33,18,16,87,25,12830
L'Jarius Sneed,Chiefs,CB,81,25,LA. Tech,76,27,70,19,59,78,58,6,74,SneedLJarius_21351,26,74,91,80,72,46,70,18,60,89,76,189,1/21/97,Default Stride Loose,33,L'Jarius,2,3300000,50,6,82,75,30,published,Sneed,38,14,94,35,93,82,6,84,48,35,launch-ratings,22,75,6,24,35,59,93,68,60,579,22,Right,15,630000,25,85,85,6,CB_MantoMan,59,35,9,87,35,21351
